iter	Passed	Remaining
0	1	162
1	3	158
2	4	147
3	6	145
4	7	142
5	8	140
6	10	136
7	11	135
8	13	132
9	14	129
10	15	127
11	17	126
12	18	124
13	20	123
14	21	121
15	22	119
16	24	117
17	25	115
18	27	115
19	28	113
20	29	112
21	31	110
22	32	109
23	34	107
24	35	106
25	36	104
26	38	103
27	39	101
28	40	100
29	42	98
30	43	97
31	45	95
32	46	94
33	48	93
34	49	92
35	51	90
36	52	89
37	53	87
38	55	86
39	56	85
40	58	83
41	59	82
42	61	81
43	62	79
44	64	78
45	65	77
46	67	76
47	69	75
48	70	73
49	72	72
50	73	70
51	74	69
52	76	67
53	77	66
54	79	64
55	80	63
56	81	61
57	82	60
58	84	58
59	86	57
60	87	55
61	88	54
62	90	53
63	91	51
64	93	50
65	94	48
66	96	47
67	97	45
68	99	44
69	100	43
70	102	41
71	103	40
72	104	38
73	106	37
74	107	35
75	108	34
76	110	32
77	111	31
78	112	29
79	114	28
80	115	27
81	116	25
82	118	24
83	119	22
84	121	21
85	122	19
86	123	18
87	125	17
88	126	15
89	128	14
90	129	12
91	131	11
92	132	9
93	133	8
94	135	7
95	136	5
96	138	4
97	139	2
98	140	1
99	142	0
